Isotopoau,Egamaau,INau,Eficau    ,sEficau       ,Eresau,sEresau,Naau            ,Fzau      ,Faau      ,Dau               ,Cau              ,Sau       ,Wau       ,NaCdau          ,FzCdau    ,FaCdau    ,DCdau            ,CCdau     ,SCdau     ,WCdau          ,sNaau            ,sFzau       ,sFaau      ,sDau                 ,sCau,sSau                 ,sWau              ,sNaCdau          ,sFzCdau     ,sFaCdau    ,sDCdau              ,sCCdau,sSCdau               ,sWCdau            ,k0au,sk0au,Fcdau     ,sFcdau    ,Gepiau    ,sGepiau   ,Gthau,sGthau    ,Q0au ,sQ0au  ,anoau
Au198    ,411.8  ,5   ,0.0012700 ,7.1300E-06    ,5.65  ,0.4    ,4.6737E+02      ,1.0345E+00,1.0030E+00,5.6307E-01        ,9.9703E-01       ,1.0668E-02,8.0015E-06,1.1446E+02      ,1.0084E+00,1.0030E+00,5.7749E-01       ,9.9407E-01,1.0676E-02,7.8715E-06     ,4.6737E-01       ,4.3448E-03  ,9.0269E-04 ,0.0000E+00           ,0   ,0.0000E+00           ,0.0000E+00        ,1.7169E-01       ,3.6303E-03  ,9.0269E-04 ,0.0000E+00          ,0     ,0.0000E+00           ,0.0000E+00        ,1   ,0    ,9.9990E-01,4.0000E-04,9.8080E-01,3.9100E-03,0.999,1.0000E-05,15.71,0.29849,2010
Au198-In ,411.8  ,2   ,0.00129031,0.000009935387,5.65  ,0.4    ,151.627179906442,1.0188    ,1.0105    ,0.091904960253702 ,0.998452401270299,0.010659  ,1.0303E-05,250.353204694297,1.02395   ,1.0105    ,0.568284944552505,0.99771   ,0.010659  ,0.0000107436345,0.302325987281329,0.00514476  ,0.005810375,0.0000643334721775914,0   ,0.0000296092874049608,0.0000000103033175,0.563280255400855,0.00476202  ,0.005810375,0.000113656988910501,0     ,0.0000296092874049608,0.0000000107436345,1   ,0    ,0.998     ,0.0002    ,0.9956    ,0.0012    ,0.999,0.0002    ,15.71,0.29849,2014
