Isotopo,Egama ,IN,Efic       ,sEfic      ,Eres       ,sEres      ,Na         ,Fz         ,Fa         ,D          ,C          ,S          ,W          ,NaCd       ,FZCd       ,FaCd       ,DCd        ,CCd        ,SCd        ,WCd        ,sNa        ,sFz        ,sFa        ,sD         ,sC         ,sS         ,sW         ,sNaCd      ,sFZCd      ,sFaCd      ,sDCd       ,sCCd       ,sSCd       ,sWCd       ,k0         ,sk0        ,FCd        ,sFCd       ,Gepi       ,sGepi      ,Gth        ,sGth       ,Alfa        ,sAlfa      ,FI         ,sFI        ,idouro, irradiacao
Sc-46  ,889   ,6 ,6.01E-04   ,3.90E-06   ,5.13E+03   ,2.57E+02   ,5.93E+02   ,1.14E+00   ,1.00E+00   ,5.03E-01   ,1.00E+00   ,3.45E-04   ,8.92E-04   ,1.79E+02   ,1.04E+00   ,1.00E+00   ,9.27E-01   ,1.00E+00   ,3.45E-04   ,1.29E-02   ,5.93E-01   ,1.14E-04   ,6.02E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,4.48E-01   ,1.04E-04   ,6.02E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,1.22E+00   ,4.00E-01   ,1.03E+00   ,5.00E-03   ,9.86E-01   ,2.90E-03   ,9.79E-01   ,4.30E-03   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
Sc-46  ,1120  ,6 ,4.90E-04   ,2.12E-06   ,5.13E+03   ,2.57E+02   ,4.86E+02   ,1.14E+00   ,1.00E+00   ,5.03E-01   ,1.00E+00   ,3.45E-04   ,8.92E-04   ,1.46E+02   ,1.04E+00   ,1.00E+00   ,9.27E-01   ,1.00E+00   ,3.45E-04   ,1.29E-02   ,4.86E-01   ,4.80E-03   ,5.01E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,3.80E-01   ,5.29E-03   ,5.01E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,1.22E+00   ,1.10E+00   ,1.03E+00   ,5.00E-03   ,9.86E-01   ,2.90E-03   ,9.79E-01   ,4.30E-03   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
Se-75  ,121.12,7 ,3.58492E-03,3.47737E-05,2.90500E+01,1.20540E+00,5.14444E-01,1.00030E+00,1.00620E+00,8.42614E-01,9.94332E-01,2.41087E-04,3.10600E-05,6.55973E-02,1.00020E+00,1.00620E+00,8.45594E-01,9.89022E-01,2.41087E-04,2.08550E-05,8.86930E-03,3.00090E-03,1.20744E-03,0.00000E+00,0.00000E+00,6.69686E-07,7.77000E-08,2.36712E-03,3.00060E-03,1.20740E-03,0.00000E+00,0.00000E+00,6.69686E-07,5.21375E-08,2.15300E-03,3.90000E-05,8.72000E-01,2.56000E-02,9.99950E-01,1.00000E-04,9.97650E-01,5.50000E-04,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,1     , 2
Se-75  ,136   ,7 ,3.45356E-03,3.38449E-05,2.90500E+01,1.20540E+00,1.72616E+00,1.00030E+00,1.00600E+00,8.42614E-01,9.94332E-01,2.41087E-04,3.10600E-05,2.31058E-01,1.00020E+00,1.00600E+00,8.45594E-01,9.89022E-01,2.41087E-04,2.08550E-05,3.45096E-02,3.00090E-03,1.20720E-03,0.00000E+00,0.00000E+00,6.69686E-07,7.77000E-08,2.81261E-03,3.00060E-03,1.20720E-03,0.00000E+00,0.00000E+00,6.69686E-07,5.21375E-08,7.46100E-03,1.46000E-04,8.72000E-01,2.56000E-02,1.00000E+00,1.00000E-04,1.00000E+00,0.00000E+00,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,1     , 2
Se-75  ,264.66,7 ,2.05389E-03,1.66365E-05,2.90500E+01,1.20540E+00,1.03618E+00,1.00030E+00,1.00480E+00,8.42614E-01,9.94332E-01,2.41087E-04,3.10600E-05,1.29450E-01,1.00020E+00,1.00480E+00,8.45594E-01,9.89022E-01,2.41087E-04,2.08550E-05,5.97382E-03,3.00090E-03,1.00480E-03,0.00000E+00,0.00000E+00,6.69686E-07,7.77000E-08,2.27695E-03,3.00060E-03,1.00480E-03,0.00000E+00,0.00000E+00,6.69686E-07,5.21375E-08,7.51400E-03,9.08000E-05,8.72000E-01,2.56000E-02,1.00000E+00,1.00000E-04,1.00000E+00,0.00000E+00,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,1     , 2
Se-75  ,279.54,7 ,1.94238E-03,1.51506E-05,2.90500E+01,1.20540E+00,4.18494E-01,1.00030E+00,1.00470E+00,8.42614E-01,9.94332E-01,2.41087E-04,3.10600E-05,5.69517E-02,1.00020E+00,1.00470E+00,8.45594E-01,9.89022E-01,2.41087E-04,2.08550E-05,2.81480E-03,3.00090E-03,9.04230E-04,0.00000E+00,0.00000E+00,6.69686E-07,7.77000E-08,1.86251E-03,3.00060E-03,9.04230E-04,0.00000E+00,0.00000E+00,6.69686E-07,5.21375E-08,3.17100E-03,1.93000E-04,8.72000E-01,2.56000E-02,1.00000E+00,1.00000E-04,1.00000E+00,0.00000E+00,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,1     , 2
Se-75  ,400.66,7 ,1.32837E-03,9.69710E-06,2.90500E+01,1.20540E+00,1.35356E-01,1.00030E+00,1.00410E+00,8.42614E-01,9.94332E-01,2.41087E-04,3.10600E-05,1.95070E-02,1.00020E+00,1.00410E+00,8.45594E-01,9.89022E-01,2.41087E-04,2.08550E-05,1.62513E-03,3.00090E-03,9.04230E-04,0.00000E+00,0.00000E+00,6.69686E-07,7.77000E-08,9.73645E-04,3.00060E-03,9.04230E-04,0.00000E+00,0.00000E+00,6.69686E-07,5.21375E-08,1.52500E-03,4.16000E-05,8.72000E-01,2.56000E-02,1.00000E+00,1.00000E-04,1.00000E+00,0.00000E+00,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,1     , 2
In-114 ,190.3 ,8 ,2.78942E-03,3.06836E-05,6.41000E+00,9.61500E-01,2.50101E+01,1.01715E+00,1.00700E+00,9.17881E-01,9.94975E-01,5.83169E-04,1.24100E-03,9.63056E+00,1.00705E+00,1.00700E+00,9.06844E-01,9.92901E-01,5.83169E-04,1.38150E-03,2.50101E-02,3.05145E-03,1.00700E-02,0.00000E+00,0.00000E+00,1.61991E-06,6.26000E-07,1.34828E-02,3.02115E-03,1.00700E-02,1.34084E-03,9.92851E-04,1.61991E-06,1.38150E-06,1.06000E-03,8.48020E-06,9.86000E-01,3.60000E-03,9.99500E-01,1.00000E-04,9.91200E-01,2.00000E-04,-3.10000E-03,4.70000E-03,4.60211E+01,9.95171E-01,2     , 2
In-114 ,558.4 ,8 ,9.40843E-04,7.24449E-06,6.41000E+00,9.61500E-01,2.25572E+00,1.01715E+00,1.00700E+00,9.17881E-01,9.94975E-01,5.83169E-04,1.24100E-03,8.76403E-01,1.00705E+00,1.00700E+00,9.06844E-01,9.92901E-01,5.83169E-04,1.38150E-03,1.35351E-02,3.05145E-03,6.29375E-03,0.00000E+00,0.00000E+00,1.61991E-06,6.96000E-07,6.16083E-03,3.02115E-03,6.29375E-03,1.34084E-03,9.92851E-04,1.61991E-06,1.38150E-06,2.86000E-04,2.00200E-06,9.86000E-01,3.60000E-03,9.99500E-01,1.00000E-04,9.91200E-01,2.00000E-04,-3.10000E-03,4.70000E-03,4.60211E+01,9.95171E-01,2     , 2
In-114 ,725.2 ,8 ,7.28711E-04,5.02811E-06,6.41000E+00,9.61500E-01,1.74546E+00,1.01715E+00,1.00700E+00,9.17881E-01,9.94975E-01,5.83169E-04,1.24100E-03,6.75551E-01,1.00705E+00,1.00700E+00,9.06844E-01,9.92901E-01,5.83169E-04,1.38150E-03,1.18697E-02,3.05145E-03,6.09235E-03,0.00000E+00,0.00000E+00,1.61991E-06,1.32000E-06,5.28576E-03,3.02115E-03,6.09235E-03,1.34084E-03,9.92851E-04,1.61991E-06,1.38150E-06,2.90000E-04,1.74000E-06,9.86000E-01,3.60000E-03,9.99500E-01,1.00000E-04,9.91200E-01,2.00000E-04,-3.10000E-03,4.70000E-03,4.60211E+01,9.95171E-01,2     , 2
